Date,Price,Open,High,Low,Vol.,Change %
"Apr 06, 2020",7332.30,6772.80,7335.00,6770.10,1.53M,0.08
"Apr 05, 2020",6772.70,6857.50,6889.40,6686.00,842.33K,-0.01
"Apr 04, 2020",6857.40,6735.90,6958.60,6679.10,1.05M,0.02
"Apr 03, 2020",6735.90,6799.90,7026.30,6623.60,1.35M,-0.01
"Apr 02, 2020",6800.50,6638.80,7182.70,6567.90,1.74M,0.02
"Apr 01, 2020",6638.50,6412.40,6661.30,6157.40,1.40M,0.04
"Mar 31, 2020",6412.50,6391.10,6513.10,6346.30,1.05M,0.00
"Mar 30, 2020",6391.00,5890.40,6576.50,5872.50,1.43M,0.09
"Mar 29, 2020",5890.40,6233.20,6258.80,5889.30,916.17K,-0.06
"Mar 28, 2020",6233.70,6373.40,6374.30,6046.50,1.26M,-0.02
"Mar 27, 2020",6373.40,6725.50,6813.70,6322.30,1.16M,-0.05
"Mar 26, 2020",6725.10,6677.90,6772.90,6541.70,1.18M,0.01
"Mar 25, 2020",6678.90,6744.80,6930.20,6474.60,1.52M,-0.01
"Mar 24, 2020",6744.60,6468.80,6814.20,6380.80,1.73M,0.04
"Mar 23, 2020",6468.90,5822.00,6564.70,5710.80,1.88M,0.11
"Mar 22, 2020",5822.10,6186.90,6394.40,5771.20,1.48M,-0.06
"Mar 21, 2020",6186.20,6205.60,6438.30,5887.00,1.64M,0.00
"Mar 20, 2020",6205.30,6171.60,6858.10,5748.20,2.22M,0.01
"Mar 19, 2020",6172.00,5359.20,6379.50,5256.00,2.18M,0.15
"Mar 18, 2020",5361.40,5260.70,5373.10,5020.90,1.80M,0.02
"Mar 17, 2020",5261.10,5030.20,5432.80,4946.50,1.89M,0.05
"Mar 16, 2020",5030.00,5366.40,5369.30,4477.70,2.55M,-0.06
"Mar 15, 2020",5366.30,5182.90,5863.30,5120.60,1.61M,0.04
"Mar 14, 2020",5182.70,5589.40,5634.90,5072.20,1.69M,-0.07
"Mar 13, 2020",5584.30,4815.20,5934.30,3869.50,4.17M,0.16
"Mar 12, 2020",4826.00,7935.20,7963.10,4546.60,3.22M,-0.39
"Mar 11, 2020",7935.10,7892.10,7976.50,7606.00,1.10M,0.01
"Mar 10, 2020",7891.20,7933.00,8145.50,7740.20,1.20M,-0.01
"Mar 09, 2020",7933.00,8035.80,8158.80,7648.70,1.54M,-0.01
"Mar 08, 2020",8034.10,8887.80,8888.00,8015.30,1.11M,-0.10
"Mar 07, 2020",8887.80,9134.20,9180.80,8848.70,750.65K,-0.03
"Mar 06, 2020",9134.80,9060.60,9165.20,9004.90,1.04M,0.01
"Mar 05, 2020",9060.30,8757.90,9147.30,8751.50,950.76K,0.03
"Mar 04, 2020",8757.90,8761.30,8840.30,8679.70,759.69K,0.00
"Mar 03, 2020",8761.40,8906.10,8911.70,8669.30,1.01M,-0.02
"Mar 02, 2020",8904.80,8537.50,8961.80,8503.10,1.02M,0.04
"Mar 01, 2020",8540.00,8543.80,8737.20,8437.20,784.05K,0.00
"Feb 29, 2020",8543.70,8697.10,8793.70,8539.80,683.44K,-0.02
"Feb 28, 2020",8697.50,8820.10,8898.70,8451.90,1.08M,-0.01
"Feb 27, 2020",8818.60,8800.10,8968.30,8538.50,1.13M,0.00
"Feb 26, 2020",8800.30,9317.10,9368.10,8672.00,1.32M,-0.06
"Feb 25, 2020",9317.20,9662.60,9672.30,9269.80,937.97K,-0.04
"Feb 24, 2020",9662.70,9943.20,9981.00,9507.00,980.00K,-0.03
"Feb 23, 2020",9942.70,9655.60,9965.60,9653.40,775.88K,0.03
"Feb 22, 2020",9655.70,9684.50,9706.50,9569.80,589.88K,0.00
"Feb 21, 2020",9684.50,9602.20,9747.10,9574.50,716.61K,0.01
"Feb 20, 2020",9602.40,9611.90,9681.40,9448.90,870.80K,0.00
"Feb 19, 2020",9609.40,10158.60,10230.90,9424.30,905.95K,-0.05
"Feb 18, 2020",10158.40,9701.50,10230.10,9601.60,945.91K,0.05
"Feb 17, 2020",9701.40,9931.70,9951.50,9468.90,961.88K,-0.02
"Feb 16, 2020",9932.30,9907.40,10056.40,9654.90,808.91K,0.00
"Feb 15, 2020",9907.70,10336.00,10369.80,9831.70,808.81K,-0.04
"Feb 14, 2020",10333.00,10235.50,10372.40,10125.20,732.51K,0.01
"Feb 13, 2020",10235.10,10321.90,10482.60,10116.90,940.30K,-0.01
"Feb 12, 2020",10317.70,10229.30,10435.60,10229.30,803.25K,0.01
"Feb 11, 2020",10229.50,9854.00,10314.10,9725.10,791.28K,0.04
"Feb 10, 2020",9854.10,10151.50,10181.70,9774.80,781.22K,-0.03
"Feb 09, 2020",10151.50,9895.40,10157.10,9882.70,617.35K,0.03
"Feb 08, 2020",9895.50,9817.30,9931.20,9673.20,551.31K,0.01
"Feb 07, 2020",9818.60,9771.90,9872.50,9738.70,608.96K,0.00
"Feb 06, 2020",9772.00,9611.80,9854.90,9536.10,778.67K,0.02
"Feb 05, 2020",9611.80,9194.10,9726.80,9179.90,771.46K,0.05
"Feb 04, 2020",9193.90,9296.50,9347.50,9193.90,651.68K,-0.01
"Feb 03, 2020",9296.60,9334.60,9582.80,9243.10,701.39K,0.00
"Feb 02, 2020",9334.90,9381.50,9465.40,9183.10,683.37K,-0.01
"Feb 01, 2020",9381.60,9349.30,9458.80,9301.50,458.42K,0.00
"Jan 31, 2020",9349.10,9508.30,9525.00,9222.30,633.37K,-0.02
"Jan 30, 2020",9507.30,9299.10,9569.00,9209.20,765.21K,0.02
"Jan 29, 2020",9298.90,9377.30,9428.70,9250.90,749.88K,-0.01
"Jan 28, 2020",9377.30,8866.60,9389.50,8866.60,954.20K,0.06
"Jan 27, 2020",8866.60,8608.10,8983.10,8585.60,706.45K,0.03
"Jan 26, 2020",8607.80,8341.60,8607.80,8304.90,468.34K,0.03
"Jan 25, 2020",8341.60,8439.90,8447.60,8277.20,444.00K,-0.01
"Jan 24, 2020",8439.90,8404.90,8522.00,8242.60,617.02K,0.00
"Jan 23, 2020",8405.10,8678.50,8687.30,8309.60,722.67K,-0.03
"Jan 22, 2020",8678.50,8733.00,8805.40,8610.80,509.06K,-0.01
"Jan 21, 2020",8732.60,8642.00,8770.30,8524.00,540.20K,0.01
"Jan 20, 2020",8641.90,8705.70,8740.10,8539.20,599.06K,-0.01
"Jan 19, 2020",8706.20,8916.30,9183.70,8552.80,975.01K,-0.02
"Jan 18, 2020",8916.30,8913.00,8982.30,8814.60,627.74K,0.00
"Jan 17, 2020",8913.10,8726.70,9005.10,8675.90,794.11K,0.02
"Jan 16, 2020",8726.90,8818.10,8850.00,8605.80,748.32K,-0.01
"Jan 15, 2020",8818.30,8827.90,8904.00,8615.50,1.17M,0.00
"Jan 14, 2020",8829.20,8111.20,8898.70,8111.20,1.48M,0.09
"Jan 13, 2020",8111.40,8188.30,8196.70,8068.40,610.66K,-0.01
"Jan 12, 2020",8187.60,8023.30,8189.90,7973.10,595.22K,0.02
"Jan 11, 2020",8024.10,8187.80,8262.90,8008.40,776.75K,-0.02
"Jan 10, 2020",8187.10,7842.50,8187.40,7697.70,1.05M,0.04
"Jan 09, 2020",7842.40,8060.00,8065.90,7779.20,786.50K,-0.03
"Jan 08, 2020",8059.60,8154.20,8436.40,7900.80,1.19M,-0.01
"Jan 07, 2020",8155.70,7759.10,8182.00,7754.10,1.01M,0.05
"Jan 06, 2020",7759.10,7372.60,7783.10,7366.70,786.75K,0.05
"Jan 05, 2020",7372.50,7376.80,7501.00,7345.60,628.14K,0.00
"Jan 04, 2020",7376.80,7345.10,7433.10,7291.40,523.91K,0.00
"Jan 03, 2020",7343.10,6967.10,7402.90,6884.10,936.29K,0.05
"Jan 02, 2020",6967.00,7199.70,7209.60,6901.40,632.78K,-0.03
"Jan 01, 2020",7199.80,7196.40,7259.40,7180.00,420.28K,0.00
"Dec 31, 2019",7196.40,7261.50,7331.00,7167.40,586.60K,-0.01
"Dec 30, 2019",7261.80,7397.50,7420.90,7244.10,606.11K,-0.02
"Dec 29, 2019",7397.50,7321.60,7518.90,7303.00,611.69K,0.01
"Dec 28, 2019",7321.50,7261.90,7375.90,7256.50,610.96K,0.01
"Dec 27, 2019",7261.70,7210.80,7293.80,7128.50,718.07K,0.01
"Dec 26, 2019",7210.90,7225.00,7414.30,7177.30,795.09K,0.00
"Dec 25, 2019",7224.80,7268.30,7542.40,7150.90,625.41K,-0.01
"Dec 24, 2019",7268.30,7322.40,7433.20,7185.70,785.54K,-0.01
"Dec 23, 2019",7322.80,7496.20,7684.00,7276.20,952.16K,-0.02
"Dec 22, 2019",7495.80,7156.30,7501.10,7142.00,677.94K,0.05
"Dec 21, 2019",7156.20,7196.40,7197.60,7129.60,468.74K,-0.01
"Dec 20, 2019",7196.40,7165.50,7218.40,7107.70,627.04K,0.00
"Dec 19, 2019",7165.50,7276.40,7354.00,7039.30,778.72K,-0.02
"Dec 18, 2019",7276.00,6613.50,7387.70,6462.20,1.14M,0.10
"Dec 17, 2019",6613.30,6903.50,6943.50,6575.00,894.55K,-0.04
"Dec 16, 2019",6903.50,7128.50,7153.10,6864.60,689.56K,-0.03
"Dec 15, 2019",7128.50,7080.80,7175.80,7033.80,492.58K,0.01
"Dec 14, 2019",7080.80,7255.20,7267.40,7043.30,524.56K,-0.02
"Dec 13, 2019",7255.20,7208.40,7288.00,7200.30,503.49K,0.01
"Dec 12, 2019",7208.00,7208.00,7272.40,7124.60,611.80K,0.00
"Dec 11, 2019",7208.00,7235.80,7284.40,7168.80,518.40K,0.00
"Dec 10, 2019",7235.70,7356.20,7400.30,7192.10,609.50K,-0.02
"Dec 09, 2019",7355.80,7524.80,7626.00,7321.60,648.66K,-0.02
"Dec 08, 2019",7524.40,7510.80,7576.40,7416.70,499.04K,0.00
"Dec 07, 2019",7510.90,7530.40,7595.70,7489.60,557.14K,0.00
"Dec 06, 2019",7530.80,7399.20,7552.10,7329.80,706.10K,0.02
"Dec 05, 2019",7399.20,7204.60,7476.30,7184.00,780.78K,0.03
"Dec 04, 2019",7204.40,7291.90,7702.20,7113.60,971.75K,-0.01
"Dec 03, 2019",7291.80,7298.10,7389.40,7227.10,548.77K,0.00
"Dec 02, 2019",7298.20,7395.90,7433.80,7173.60,687.78K,-0.01
"Dec 01, 2019",7396.40,7546.50,7546.50,7244.40,777.00K,-0.02
"Nov 30, 2019",7546.60,7742.70,7787.70,7472.70,650.60K,-0.03
"Nov 29, 2019",7742.70,7426.60,7825.30,7412.30,766.71K,0.04
"Nov 28, 2019",7426.70,7510.60,7639.50,7380.60,737.58K,-0.01
"Nov 27, 2019",7510.60,7162.80,7636.90,6875.40,996.49K,0.05
"Nov 26, 2019",7162.80,7115.50,7329.50,7045.10,844.27K,0.01
"Nov 25, 2019",7115.60,6924.70,7352.80,6534.80,1.29M,0.03
"Nov 24, 2019",6924.70,7325.00,7344.10,6894.90,904.50K,-0.05
"Nov 23, 2019",7324.10,7271.60,7342.50,7093.70,783.18K,0.01
"Nov 22, 2019",7272.50,7627.90,7700.90,6818.50,1.41M,-0.05
"Nov 21, 2019",7627.90,8099.40,8129.60,7519.70,891.50K,-0.06
"Nov 20, 2019",8099.30,8145.70,8223.00,8074.20,607.27K,-0.01
"Nov 19, 2019",8145.70,8207.70,8245.60,8032.80,654.27K,-0.01
"Nov 18, 2019",8208.40,8510.30,8516.30,8110.40,692.60K,-0.04
"Nov 17, 2019",8509.80,8497.40,8631.70,8413.00,531.22K,0.00
"Nov 16, 2019",8497.30,8476.20,8532.80,8450.70,471.16K,0.00
"Nov 15, 2019",8476.30,8660.80,8761.80,8437.10,653.71K,-0.02
"Nov 14, 2019",8661.20,8782.90,8799.80,8615.80,515.43K,-0.01
"Nov 13, 2019",8783.10,8813.20,8829.70,8721.10,454.33K,0.00
"Nov 12, 2019",8812.60,8737.40,8841.20,8615.70,575.16K,0.01
"Nov 11, 2019",8736.90,9036.90,9066.40,8649.40,601.16K,-0.03
"Nov 10, 2019",9036.80,8804.70,9092.90,8763.50,581.57K,0.03
"Nov 09, 2019",8804.50,8778.10,8877.50,8746.90,512.02K,0.00
"Nov 08, 2019",8778.20,9223.60,9254.80,8722.40,791.79K,-0.05
"Nov 07, 2019",9223.50,9339.20,9367.00,9130.00,603.54K,-0.01
"Nov 06, 2019",9338.90,9311.20,9424.60,9262.70,578.03K,0.00
"Nov 05, 2019",9310.80,9396.10,9452.70,9193.90,653.42K,-0.01
"Nov 04, 2019",9396.40,9198.70,9500.40,9134.10,681.01K,0.02
"Nov 03, 2019",9198.30,9300.50,9359.10,9095.00,536.56K,-0.01
"Nov 02, 2019",9300.60,9230.30,9356.70,9201.20,570.74K,0.01
"Nov 01, 2019",9230.10,9153.10,9270.40,9057.20,689.65K,0.01
"Oct 31, 2019",9152.60,9157.90,9378.90,8959.60,798.93K,0.00
"Oct 30, 2019",9157.90,9411.30,9411.30,9018.40,789.73K,-0.03
"Oct 29, 2019",9411.30,9206.50,9531.30,9125.30,918.48K,0.02
"Oct 28, 2019",9207.20,9530.10,9866.90,9202.50,1.04M,-0.03
"Oct 27, 2019",9529.60,9230.60,9773.20,9081.00,1.16M,0.03
"Oct 26, 2019",9230.60,8658.40,10540.00,8061.80,1.78M,0.07
"Oct 25, 2019",8658.30,7422.80,8697.70,7404.90,1.18M,0.17
"Oct 24, 2019",7422.70,7476.80,7501.50,7366.30,586.49K,-0.01
"Oct 23, 2019",7477.00,8031.00,8055.00,7329.20,892.08K,-0.07
"Oct 22, 2019",8031.40,8207.40,8289.10,8017.70,570.39K,-0.02
"Oct 21, 2019",8208.20,8224.10,8315.30,8155.70,489.40K,0.00
"Oct 20, 2019",8223.40,7957.40,8288.50,7889.60,513.91K,0.03
"Oct 19, 2019",7957.30,7948.30,8060.20,7892.40,428.83K,0.00
"Oct 18, 2019",7948.50,8073.30,8116.40,7842.00,505.79K,-0.02
"Oct 17, 2019",8073.30,8000.40,8118.20,7944.40,444.95K,0.01
"Oct 16, 2019",8000.40,8167.10,8185.90,7929.80,538.92K,-0.02
"Oct 15, 2019",8167.20,8353.40,8400.20,8139.50,469.73K,-0.02
"Oct 14, 2019",8353.30,8281.30,8374.30,8222.20,505.02K,0.01
"Oct 13, 2019",8281.50,8304.30,8450.20,8190.60,419.87K,0.00
"Oct 12, 2019",8304.40,8267.60,8394.80,8260.90,424.02K,0.00
"Oct 11, 2019",8267.80,8562.20,8751.10,8249.70,667.86K,-0.03
"Oct 10, 2019",8562.30,8566.80,8638.50,8438.70,511.46K,0.00
"Oct 09, 2019",8566.70,8180.10,8655.90,8122.70,636.43K,0.05
"Oct 08, 2019",8182.90,8198.50,8323.10,8118.10,469.04K,0.00
"Oct 07, 2019",8198.60,7882.60,8293.50,7797.00,604.74K,0.04
"Oct 06, 2019",7881.90,8127.30,8145.50,7834.90,448.80K,-0.03
"Oct 05, 2019",8127.30,8148.00,8185.10,8030.60,360.92K,0.00
"Oct 04, 2019",8148.10,8227.60,8233.60,8041.40,416.92K,-0.01
"Oct 03, 2019",8226.90,8363.60,8391.70,8090.10,460.97K,-0.02
"Oct 02, 2019",8364.10,8302.70,8374.00,8167.70,405.86K,0.01
"Oct 01, 2019",8302.70,8285.00,8486.20,8187.90,533.95K,0.00
"Sep 30, 2019",8284.30,8048.90,8318.50,7749.00,600.26K,0.03
"Sep 29, 2019",8049.10,8208.00,8226.80,7922.10,418.48K,-0.02
"Sep 28, 2019",8208.50,8184.50,8297.20,8031.10,457.79K,0.00
"Sep 27, 2019",8184.90,8063.80,8257.40,7882.10,561.40K,0.02
"Sep 26, 2019",8063.80,8432.50,8463.10,7773.60,731.03K,-0.04
"Sep 25, 2019",8432.40,8512.30,8729.80,8245.10,696.11K,-0.01
